variant_id,model_id,canonical_name,section,product_type,brand,model,variant_name,ram_gb,storage_gb,color,manufacturer_sku,gtin,manufacturer_url,source_status,created_at,updated_at
VAR-D8B02CE30B29AD,MOD-D1AA915EFE7609,Fresh 18706 90L / Silver,الأجهزة المنزلية,ثلاجات,Fresh,18706,90L | Silver,,,Silver,18706,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-7783A9E6285072,MOD-D1AA915EFE7609,Fresh 18706 91L / Black,الأجهزة المنزلية,ثلاجات,Fresh,18706,91L | Black,,,Black,18706,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-B78DCBAA10AE21,MOD-1A5FF37AF18BDD,Fresh 500006363 294L / Silver,الأجهزة المنزلية,ثلاجات,Fresh,500006363,294L | Silver,,,Silver,500006363,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-74F4062764CDEE,MOD-C5CAA1F959D49F,Fresh B137 B 91L / Black,الأجهزة المنزلية,ثلاجات,Fresh,B137 B,91L | Black,,,Black,B137 B,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-D1F6A272A688F0,MOD-C5CAA1F959D49F,Fresh B137 B 91L / Silver,الأجهزة المنزلية,ثلاجات,Fresh,B137 B,91L | Silver,,,Silver,B137 B,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-6B58AF8761E388,MOD-D5C5C32734B348,Fresh FDD-B315 S 293L / Silver,الأجهزة المنزلية,ثلاجات,Fresh,FDD-B315 S,293L | Silver,,,Silver,FDD-B315 S,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A5B39ECD419796,MOD-9148E265C8D42E,Fresh FMB70 45L / Silver,الأجهزة المنزلية,ثلاجات,Fresh,FMB70,45L | Silver,,,Silver,FMB70,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-407C4DE9A14624,MOD-BE9FA54DC47E03,Fresh FNT-B470KBM 397L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-B470KBM,397L | Black,,,Black,FNT-B470KBM,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-4F5890AECCD3FD,MOD-EB9DAD6E36B886,Fresh FNT-BR470BMB 397 L | Freestanding | Black | 397L,الأجهزة المنزلية,ثلاجات,Fresh,FNT-BR470BMB,397 L | Freestanding | Black,,,Black,FNT-BR470BMB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-22BB2E0DE85F44,MOD-EB9DAD6E36B886,Fresh FNT-BR470BMB 397L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-BR470BMB,397L | Black,,,Black,FNT-BR470BMB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-80DBFE2CA3DFFD,MOD-45BF93CABB6BC2,Fresh FNT-BS470BB 397L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-BS470BB,397L | Black,,,Black,FNT-BS470BB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-88C9F3E4CD6229,MOD-B9B43CF7235C21,Fresh FNT-BS470KT (FLD) 397L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNT-BS470KT (FLD),397L | Stainless Steel,,,Stainless Steel,FNT-BS470KT (FLD),,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-B7821DE6FE9412,MOD-D0DF7A9152D76F,Fresh FNT-DR540YGB 426L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-DR540YGB,426L | Black,,,Black,FNT-DR540YGB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A4903722A0FCD3,MOD-C3DDF76942605D,Fresh FNT-M400YT 369L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNT-M400YT,369L | Stainless Steel,,,Stainless Steel,FNT-M400YT,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-4EE24339BBA278,MOD-0BA1C78F88AA50,Fresh FNT-M580YB 471L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-M580YB,471L | Black,,,Black,FNT-M580YB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-329BEA62E83210,MOD-A7A0CB8BE8CCAB,Fresh FNT-MR470YGQMI 397L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNT-MR470YGQMI,397L | Black,,,Black,FNT-MR470YGQMI,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-E47E5D2A503167,MOD-83FC616EE29CD3,Fresh FNT-MS580 YT (FLD) 471L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNT-MS580 YT (FLD),471L | Stainless Steel,,,Stainless Steel,FNT-MS580 YT (FLD),,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-D4029AFD92172D,MOD-FEC3879C7C02B2,Fresh FNTBS370KBC4K 329L / Black,الأجهزة المنزلية,ثلاجات,Fresh,FNTBS370KBC4K,329L | Black,,,Black,FNTBS370KBC4K,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
